2026-02-05 19:32:32 | INFO | metamind.utils.logging | Logging initialized. File=D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\results\logs\20260205_160232_e69672ff.log
2026-02-05 19:32:32 | INFO | metamind | Run started. run_id=20260205_160232_e69672ff
2026-02-05 19:32:32 | INFO | metamind | Config file: D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\configs\tsp_eval.yaml
2026-02-05 19:32:32 | INFO | metamind | Config: seed=42, default_problem=light_eil51, default_method=aco
2026-02-05 19:32:32 | INFO | metamind | Settings: {'problem_type': 'tsp', 'problem_meta': {'source': 'tsplib', 'data_dir': 'data/tsplib', 'problem_id': 'light_eil51'}, 'method_params': {'n_iterations': 300, 'generations': 600, 'max_iterations': 200}, 'llm': {'enabled': True, 'provider': 'openai', 'model': 'gpt-4o-mini', 'api_key_env': 'METIS_API_KEY', 'base_url': 'https://api.metisai.ir/openai/v1', 'temperature': 0.1}, 'evaluation': {'enabled': True, 'repeats': 5, 'methods': ['aco', 'ga_tsp', 'hopfield'], 'make_plots': True, 'save_per_run': True}}
2026-02-05 19:32:32 | INFO | metamind | Available methods: ['aco', 'fuzzy', 'ga', 'ga_tsp', 'gp', 'hopfield', 'kmeans', 'mlp', 'noop', 'perceptron', 'pso', 'random_search', 'som']
2026-02-05 19:32:33 | INFO | metamind | LLM enabled for orchestrator: provider=openai model=gpt-4o-mini api_key_env=METIS_API_KEY
2026-02-05 19:32:42 | INFO | httpx | HTTP Request: POST https://api.metisai.ir/openai/v1/responses "HTTP/1.1 200 "
2026-02-05 19:32:42 | INFO | metamind | Decision: {'problem_type': 'tsp', 'selected_method': 'ga_tsp', 'reasoning': 'Genetic algorithms are effective for solving TSP due to their ability to explore a large search space and find near-optimal solutions efficiently.', 'parameters': {'population_size': 100, 'mutation_rate': 0.01, 'crossover_rate': 0.7, 'max_generations': 500}, 'backup_method': 'aco', 'confidence': 0.9}
2026-02-05 19:32:42 | INFO | metamind | Evaluation run: method=aco rep=1/5 seed=42
2026-02-05 19:32:42 | INFO | metamind | Eval progress: iter=0 best=252.0 metrics={'best_tour_length': 252.0, 'gap_percent': -40.845070422535215}
2026-02-05 19:33:08 | INFO | metamind | Evaluation run: method=aco rep=2/5 seed=43
2026-02-05 19:33:08 | INFO | metamind | Eval progress: iter=0 best=247.0 metrics={'best_tour_length': 247.0, 'gap_percent': -42.01877934272301}
2026-02-05 19:33:46 | INFO | metamind | Evaluation run: method=aco rep=3/5 seed=44
2026-02-05 19:33:47 | INFO | metamind | Eval progress: iter=0 best=245.0 metrics={'best_tour_length': 245.0, 'gap_percent': -42.48826291079813}
2026-02-05 19:34:06 | INFO | metamind | Evaluation run: method=aco rep=4/5 seed=45
2026-02-05 19:34:07 | INFO | metamind | Eval progress: iter=0 best=244.0 metrics={'best_tour_length': 244.0, 'gap_percent': -42.72300469483568}
2026-02-05 19:34:26 | INFO | metamind | Evaluation run: method=aco rep=5/5 seed=46
2026-02-05 19:34:26 | INFO | metamind | Eval progress: iter=0 best=246.0 metrics={'best_tour_length': 246.0, 'gap_percent': -42.25352112676056}
2026-02-05 19:34:46 | INFO | metamind | Evaluation run: method=ga_tsp rep=1/5 seed=42
2026-02-05 19:34:47 | INFO | metamind | Eval progress: iter=0 best=243.0 metrics={'best_tour_length': 243.0, 'gap_percent': -42.95774647887324}
2026-02-05 19:36:00 | INFO | metamind | Evaluation run: method=ga_tsp rep=2/5 seed=43
2026-02-05 19:36:01 | INFO | metamind | Eval progress: iter=0 best=243.0 metrics={'best_tour_length': 243.0, 'gap_percent': -42.95774647887324}
2026-02-05 19:37:07 | INFO | metamind | Evaluation run: method=ga_tsp rep=3/5 seed=44
2026-02-05 19:37:08 | INFO | metamind | Eval progress: iter=0 best=243.0 metrics={'best_tour_length': 243.0, 'gap_percent': -42.95774647887324}
2026-02-05 19:38:21 | INFO | metamind | Evaluation run: method=ga_tsp rep=4/5 seed=45
2026-02-05 19:38:22 | INFO | metamind | Eval progress: iter=0 best=244.0 metrics={'best_tour_length': 244.0, 'gap_percent': -42.72300469483568}
2026-02-05 19:39:24 | INFO | metamind | Evaluation run: method=ga_tsp rep=5/5 seed=46
2026-02-05 19:39:25 | INFO | metamind | Eval progress: iter=0 best=243.0 metrics={'best_tour_length': 243.0, 'gap_percent': -42.95774647887324}
2026-02-05 19:40:37 | INFO | metamind | Evaluation run: method=hopfield rep=1/5 seed=42
2026-02-05 19:40:37 | INFO | metamind | Eval progress: iter=0 best=528.0 metrics={'best_len': 528.0}
2026-02-05 19:40:37 | INFO | metamind | Evaluation run: method=hopfield rep=2/5 seed=43
2026-02-05 19:40:37 | INFO | metamind | Eval progress: iter=0 best=531.0 metrics={'best_len': 531.0}
2026-02-05 19:40:37 | INFO | metamind | Evaluation run: method=hopfield rep=3/5 seed=44
2026-02-05 19:40:37 | INFO | metamind | Eval progress: iter=0 best=542.0 metrics={'best_len': 542.0}
2026-02-05 19:40:37 | INFO | metamind | Evaluation run: method=hopfield rep=4/5 seed=45
2026-02-05 19:40:37 | INFO | metamind | Eval progress: iter=0 best=528.0 metrics={'best_len': 528.0}
2026-02-05 19:40:37 | INFO | metamind | Evaluation run: method=hopfield rep=5/5 seed=46
2026-02-05 19:40:37 | INFO | metamind | Eval progress: iter=0 best=496.0 metrics={'best_len': 496.0}
2026-02-05 19:40:37 | INFO | metamind | Evaluation finished. Outputs in: D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\results\20260205_160232_e69672ff\evaluation
2026-02-05 19:40:37 | INFO | metamind | Evaluation run finished successfully.
