2026-02-05 19:36:39 | INFO | metamind.utils.logging | Logging initialized. File=D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\results\logs\20260205_160639_48442cbe.log
2026-02-05 19:36:39 | INFO | metamind | Run started. run_id=20260205_160639_48442cbe
2026-02-05 19:36:39 | INFO | metamind | Config file: D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\configs\tsp_berlin52_eval.yaml
2026-02-05 19:36:39 | INFO | metamind | Config: seed=42, default_problem=berlin52, default_method=aco
2026-02-05 19:36:39 | INFO | metamind | Settings: {'problem_type': 'tsp', 'problem_meta': {'source': 'tsplib', 'data_dir': 'data/tsplib', 'problem_id': 'light_berlin52'}, 'method_params': {'max_iterations': 400}, 'llm': {'enabled': True, 'provider': 'openai', 'model': 'gpt-4o-mini', 'api_key_env': 'METIS_API_KEY', 'base_url': 'https://api.metisai.ir/openai/v1', 'temperature': 0.1}, 'evaluation': {'enabled': True, 'repeats': 5, 'methods': ['aco', 'ga_tsp', 'hopfield'], 'make_plots': True, 'save_per_run': True}}
2026-02-05 19:36:39 | INFO | metamind | Available methods: ['aco', 'fuzzy', 'ga', 'ga_tsp', 'gp', 'hopfield', 'kmeans', 'mlp', 'noop', 'perceptron', 'pso', 'random_search', 'som']
2026-02-05 19:36:40 | INFO | metamind | LLM enabled for orchestrator: provider=openai model=gpt-4o-mini api_key_env=METIS_API_KEY
2026-02-05 19:36:47 | INFO | httpx | HTTP Request: POST https://api.metisai.ir/openai/v1/responses "HTTP/1.1 200 "
2026-02-05 19:36:47 | INFO | metamind | Decision: {'problem_type': 'tsp', 'selected_method': 'ga_tsp', 'reasoning': 'Genetic algorithms are well-suited for solving TSP problems due to their ability to explore a large solution space and find near-optimal solutions efficiently.', 'parameters': {'population_size': 100, 'mutation_rate': 0.01, 'crossover_rate': 0.9, 'max_generations': 500}, 'backup_method': None, 'confidence': 0.9}
2026-02-05 19:36:47 | INFO | metamind | Evaluation run: method=aco rep=1/5 seed=42
2026-02-05 19:36:47 | INFO | metamind | Eval progress: iter=0 best=5270.0 metrics={'best_tour_length': 5270.0, 'gap_percent': -30.124635375232035}
2026-02-05 19:36:59 | INFO | metamind | Evaluation run: method=aco rep=2/5 seed=43
2026-02-05 19:37:00 | INFO | metamind | Eval progress: iter=0 best=5270.0 metrics={'best_tour_length': 5270.0, 'gap_percent': -30.124635375232035}
2026-02-05 19:37:12 | INFO | metamind | Evaluation run: method=aco rep=3/5 seed=44
2026-02-05 19:37:12 | INFO | metamind | Eval progress: iter=0 best=5270.0 metrics={'best_tour_length': 5270.0, 'gap_percent': -30.124635375232035}
2026-02-05 19:37:24 | INFO | metamind | Evaluation run: method=aco rep=4/5 seed=45
2026-02-05 19:37:24 | INFO | metamind | Eval progress: iter=0 best=5270.0 metrics={'best_tour_length': 5270.0, 'gap_percent': -30.124635375232035}
2026-02-05 19:37:36 | INFO | metamind | Evaluation run: method=aco rep=5/5 seed=46
2026-02-05 19:37:36 | INFO | metamind | Eval progress: iter=0 best=5322.0 metrics={'best_tour_length': 5322.0, 'gap_percent': -29.4351630867144}
2026-02-05 19:37:49 | INFO | metamind | Evaluation run: method=ga_tsp rep=1/5 seed=42
2026-02-05 19:37:50 | INFO | metamind | Eval progress: iter=0 best=5270.0 metrics={'best_tour_length': 5270.0, 'gap_percent': -30.124635375232035}
2026-02-05 19:38:37 | INFO | metamind | Evaluation run: method=ga_tsp rep=2/5 seed=43
