2026-02-05 21:21:34 | INFO | metamind.utils.logging | Logging initialized. File=D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\results\logs\20260205_175134_06a6a0e6.log
2026-02-05 21:21:34 | INFO | metamind | Run started. run_id=20260205_175134_06a6a0e6
2026-02-05 21:21:34 | INFO | metamind | Config file: D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\configs\rastrigin_eval.yaml
2026-02-05 21:21:34 | INFO | metamind | Config: seed=42, default_problem=rastrigin, default_method=pso
2026-02-05 21:21:34 | INFO | metamind | Settings: {'problem_type': 'function_optimization', 'problem_meta': {'function': 'rastrigin', 'dimension': 30}, 'early_stopping': {'enabled': True, 'patience': 50, 'min_delta': '1e-8'}, 'method_params': {'n_particles': 40, 'max_iterations': 300, 'w': 0.7, 'c1': 1.5, 'c2': 1.5, 'w_decay': True, 'velocity_clamp': 0.5}, 'llm': {'enabled': True, 'provider': 'openai', 'model': 'gpt-4o-mini', 'api_key_env': 'METIS_API_KEY', 'base_url': 'https://api.metisai.ir/openai/v1', 'temperature': 0.1}, 'evaluation': {'enabled': True, 'repeats': 5, 'methods': ['pso', 'ga', 'random_search'], 'make_plots': True, 'save_per_run': True}, 'feedback_loop': {'enabled': True, 'max_rounds': 3, 'min_confidence': 0.55}}
2026-02-05 21:21:34 | INFO | metamind | Available methods: ['aco', 'fuzzy', 'ga', 'ga_tsp', 'gp', 'hopfield', 'kmeans', 'mlp', 'noop', 'perceptron', 'pso', 'random_search', 'som']
2026-02-05 21:21:36 | INFO | metamind | LLM enabled for orchestrator: provider=openai model=gpt-4o-mini api_key_env=METIS_API_KEY
2026-02-05 21:21:44 | INFO | httpx | HTTP Request: POST https://api.metisai.ir/openai/v1/responses "HTTP/1.1 200 "
2026-02-05 21:21:44 | INFO | metamind | Decision: {'problem_type': 'function_optimization', 'selected_method': 'pso', 'reasoning': 'Particle Swarm Optimization (PSO) is well-suited for continuous optimization problems like the Rastrigin function, which has multiple local minima. Its ability to explore the search space effectively makes it a strong choice.', 'parameters': {'swarm_size': 100, 'max_iterations': 1000, 'inertia_weight': 0.7, 'cognitive_coefficient': 1.5, 'social_coefficient': 1.5}, 'backup_method': None, 'confidence': 0.9}
2026-02-05 21:21:45 | INFO | metamind | Evaluation run: method=pso rep=1/5 seed=42
2026-02-05 21:21:45 | INFO | metamind | Eval progress: iter=0 best=403.7513016761549 metrics={'best_fitness': 403.7513016761549}
