2026-02-05 21:22:33 | INFO | metamind.utils.logging | Logging initialized. File=D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\results\logs\20260205_175233_6ce73d8e.log
2026-02-05 21:22:33 | INFO | metamind | Run started. run_id=20260205_175233_6ce73d8e
2026-02-05 21:22:33 | INFO | metamind | Config file: D:\UN\7th_Semester_Contents\Computational_Intelligence\Project\v6\configs\rosenbrock_eval.yaml
2026-02-05 21:22:33 | INFO | metamind | Config: seed=42, default_problem=rosenbrock, default_method=ga
2026-02-05 21:22:33 | INFO | metamind | Settings: {'problem_type': 'function_optimization', 'problem_meta': {'function': 'rosenbrock', 'dimension': 30}, 'early_stopping': {'enabled': True, 'patience': 80, 'min_delta': '1e-8'}, 'method_params': {'max_iterations': 500}, 'llm': {'enabled': True, 'provider': 'openai', 'model': 'gpt-4o-mini', 'api_key_env': 'METIS_API_KEY', 'base_url': 'https://api.metisai.ir/openai/v1', 'temperature': 0.1}, 'evaluation': {'enabled': True, 'repeats': 5, 'methods': ['ga', 'gp', 'pso', 'fuzzy', 'random_search'], 'make_plots': True, 'save_per_run': True}}
2026-02-05 21:22:33 | INFO | metamind | Available methods: ['aco', 'fuzzy', 'ga', 'ga_tsp', 'gp', 'hopfield', 'kmeans', 'mlp', 'noop', 'perceptron', 'pso', 'random_search', 'som']
2026-02-05 21:22:34 | INFO | metamind | LLM enabled for orchestrator: provider=openai model=gpt-4o-mini api_key_env=METIS_API_KEY
2026-02-05 21:22:59 | INFO | httpx | HTTP Request: POST https://api.metisai.ir/openai/v1/responses "HTTP/1.1 200 "
2026-02-05 21:22:59 | INFO | metamind | Decision: {'problem_type': 'function_optimization', 'selected_method': 'pso', 'reasoning': 'Particle Swarm Optimization (PSO) is well-suited for continuous optimization problems like the Rosenbrock function due to its ability to explore the search space effectively and converge towards the global optimum.', 'parameters': {'swarm_size': 100, 'max_iterations': 1000, 'c1': 1.5, 'c2': 1.5, 'inertia_weight': 0.7}, 'backup_method': 'ga', 'confidence': 0.85}
2026-02-05 21:22:59 | INFO | metamind | Evaluation run: method=ga rep=1/5 seed=42
2026-02-05 21:22:59 | INFO | metamind | Eval progress: iter=0 best=1107452.6836807933 metrics={'best_fitness': 1107452.6836807933}
2026-02-05 21:23:00 | INFO | metamind | Evaluation run: method=ga rep=2/5 seed=43
2026-02-05 21:23:00 | INFO | metamind | Eval progress: iter=0 best=809414.4116000712 metrics={'best_fitness': 809414.4116000712}
2026-02-05 21:23:01 | INFO | metamind | Evaluation run: method=ga rep=3/5 seed=44
